,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,MAE,MSE,RMSE,R-squared,Adj R-squared
85,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.08724928696174175,0.011888938506022628,0.10903640908440917,0.9109566117348715,0.887211708197504
86,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.09194091225508601,0.01606742072200336,0.1267573300523617,0.9175703592987157,0.9140996375849774
87,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.10450986730866134,0.01581424798908728,0.12575471358596177,0.8815576156693896,0.8499729798478936
88,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.10570907663786784,0.018498689678744552,0.13600988816532625,0.9050973787239358,0.9011014788807331
89,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.07872077487409115,0.010729697996006907,0.10358425554111449,0.919638858915619,0.8982092212931174
90,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.48239993972703815,0.33391806857007195,0.5778564428732036,-1.261272207198151,-1.4600653682705156
91,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.45476592890918255,0.2777208318482724,0.526992250273448,-1.7723947864154264,-3.788681903808464
92,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.48792641146108506,0.3353332517683319,0.5790796592597014,-1.2708557390148711,-1.4704914083788156
93,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.45210346691310405,0.27774389536243577,0.5270141320329426,-1.7726250218140365,-3.7890795831333355
94,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.5804581443779171,0.44206694131052954,0.664881148259243,-1.993649587119679,-2.2568275728005296
95,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.5559757333248854,0.39944957668594616,0.6320202343959773,-2.987572399484209,-5.887625053654543
96,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.44085701955482365,0.2850503872247081,0.533901102475644,-0.9303433355450195,-1.1000438485599662
97,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.4253713976591825,0.2337132690598071,0.4834390024189268,-1.3330819094316553,-3.0298687526546777
98,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.5083256433717906,0.3690642819221992,0.6075066105995878,-1.4992801586149644,-1.7189970956360598
99,noiseless,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.4888479601591825,0.32017980580167094,0.5658443300075303,-2.1962486156062475,-4.520793063319882
100,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.5831225959770382,0.46632986632242845,0.6828834939595688,-2.1579565928162774,-2.4355791504264994
101,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.5578421007841825,0.4111144821308688,0.6411820974815725,-3.104019274658487,-6.088760565319205
102,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.5965622465126217,0.4681198412944084,0.684192839259816,-2.1700781910066707,-2.448766383622641
